Species,funcgroup,is.Species
Forb seedlings,O,0
Fungi,,0
Miscellaneous forb,F,0
Miscellaneous grasses,G,0
Miscellaneous herbs,F,0
Miscellaneous litter,,0
Miscellaneous sedges,S,0
Miscellaneous woody plants,W,0
Mosses & lichens,O,0
Pine needles,,0
Achillea millefolium(lanulosa),F,1
Agropyron repens,C3,1
Agropyron smithii,C3,1
Agrostis scabra,C3,1
Allium stellatum,F,1
Ambrosia artemisiifolia elatior,F,1
Ambrosia coronopifolia,F,1
Andropogon gerardi,C4,1
Anemone cylindrica,F,1
Antennaria neglecta,F,1
Apocynum androsaemifolium,F,1
Apocynum cannabinum,F,1
Apocynum sp.,F,1
Aristida basiramea,C4,1
Artemisia (caudata) campestris,F,1
Artemisia ludoviciana,F,1
Asclepias ovalifolia,F,1
Asclepias sp.,F,1
Asclepias syriaca,F,1
Asclepias tuberosa,F,1
Asclepias verticillata,F,1
Aster azureus,F,1
Aster ericoides,F,1
Aster junciformis,F,1
Aster simplex,F,1
Aster sp.,F,1
Astragalus canadensis,L,1
Berteroa incana,F,1
Bromus inermis,C3,1
Calamovilfa longifolia,C4,1
Campanula rotundifolia,F,1
Carex sp.,S,1
Chenopodium album,F,1
Chenopodium leptophyllum,F,1
Chenopodium sp.,F,1
Cirsium arvense,F,1
Cirsium discolor,F,1
Cirsium sp.,F,1
Comandra richardsiana,F,1
Convolvulus arvensis,F,1
Coreopsis palmata,F,1
Corylus americanus,W,1
Crepis tectorum,F,1
Cyperus filiculmis,S,1
Cyperus schweinitzii,S,1
Cyperus sp.,S,1
Equisetum hyemale,O,1
Equisetum laevigatum,O,1
Equisetum sp.,O,1
Eragrostis spectabilis,C4,1
Erigeron canadensis,F,1
Erigeron strigosus,F,1
Euphorbia corollata,F,1
Euphorbia glyptosperma,F,1
Fragaria virginiana,F,1
Hedeoma hispida,F,1
Helianthemum bicknellii,F,1
Hieracium longipilum,F,1
Koeleria cristata,C3,1
Lactuca canadensis,F,1
Lactuca serriola (scariola),F,1
Lactuca sp.,F,1
Lathyrus venosus,L,1
Lechea stricta,F,1
Lespedeza capitata,L,1
Liatris aspera,F,1
Lithospermum canescens,F,1
Lithospermum caroliniense,F,1
Lithospermum sp.,F,1
Lychnis alba,F,1
Mollugo verticillata,F,1
Oenothera biennis,F,1
Oxybaphus hirsutus,F,1
Panicum capillare,C4,1
Panicum oligosanthes,C3,1
Panicum perlongum,C3,1
Panicum praecocious,C3,1
Penstemon gracilis,F,1
Penstemon grandiflorus,F,1
Petalostemum purpureum,L,1
Phlox pilosa,F,1
Physalis heterophylla,F,1
Physalis virginiana,F,1
Poa compressa,C3,1
Poa pratensis,C3,1
Polygala polygama,F,1
Polygala sp.,F,1
Polygonatum canaliculatum,F,1
Polygonatum sp.,F,1
Polygonella articulata,F,1
Polygonum convolvulus,F,1
Polygonum persicaria,F,1
Polygonum sp.,F,1
Polygonum tenue,F,1
Potentilla recta,F,1
Prunus sp.,W,1
Quercus ellipsoidalis,W,1
Quercus sp.,W,1
Ranunculus rhomboideus,F,1
Rosa arkansana,W,1
Rubus flagellaris,W,1
Rubus idaeus,W,1
Rubus sp.,W,1
Rudbeckia serotina,F,1
Rumex acetosella,F,1
Schizachyrium scoparium,C4,1
Scutellaria lateriflora,F,1
Setaria lutescens (glauca),C4,1
Setaria sp.,C4,1
Setaria viridis,C4,1
Silene antirrhina,F,1
Sisyrinchium campestre,F,1
Smilacina racemosa,F,1
Smilacina stellata,F,1
Solidago graminifolia,F,1
Solidago nemoralis,F,1
Solidago rigida,F,1
Sorghastrum nutans,C4,1
Stipa spartea,C3,1
Stipa spicata,C3,1
Tradescantia occidentalis,F,1
Tradescantia sp.,F,1
Tragopogon dubius (major),F,1
Trifolium repens,L,1
Verbascum thapsus,F,1
Vicia villosa,L,1
Viola pallens,F,1
Viola pedata,F,1
Viola pedatifida,F,1
Viola sagittata,F,1
Viola sp.,F,1